FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1481240|Allegheny Mountain Trail|Trail|VA|51|Bath|017|375754N|0800225W|37.9651236|-80.0403391|||||891|2923|Rucker Gap|09/28/1979|
1481252|Stouts Creek|Stream|VA|51|Bath|017|375915N|0794500W|37.987627|-79.7500492|375933N|0794637W|37.9925|-79.7769444|508|1667|Healing Springs|09/28/1979|
1481273|Alex Run|Stream|VA|51|Bath|017|381003N|0795306W|38.1676233|-79.8850562|381034N|0795132W|38.1762346|-79.8589441|646|2119|Minnehaha Springs|09/28/1979|
1481333|Apple Tree Hollow|Valley|VA|51|Bath|017|380902N|0795417W|38.1506789|-79.904779|380941N|0795506W|38.1613889|-79.9183333|618|2028|Minnehaha Springs|09/28/1979|
1481340|Armstrong|Populated Place|VA|51|Bath|017|380643N|0793117W|38.112071|-79.5214325|||||570|1870|Green Valley|09/28/1979|
1481347|Ash Cabin Hollow|Valley|VA|51|Bath|017|380355N|0795459W|38.065402|-79.9164456|380414N|0795713W|38.0705556|-79.9536111|555|1821|Mountain Grove|09/28/1979|
1481366|Ayers Hollow|Valley|VA|51|Bath|017|380427N|0795417W|38.0742909|-79.9047785|380454N|0795532W|38.0816667|-79.9255556|528|1732|Mountain Grove|09/28/1979|
1481374|Back Creek|Stream|VA|51|Bath|017|380142N|0795401W|38.0284581|-79.9003336|382858N|0793827W|38.4828964|-79.6408842|482|1581|Mountain Grove|09/28/1979|
1481378|Back Draft|Valley|VA|51|Bath|017|380753N|0792918W|38.1315155|-79.488376|381001N|0792649W|38.1669444|-79.4469444|609|1998|Deerfield|09/28/1979|
1481388|Backway Hollow|Valley|VA|51|Bath|017|375430N|0794757W|37.9084606|-79.7992169|375455N|0794801W|37.9152778|-79.8002778|448|1470|Healing Springs|09/28/1979|
1481463|Barn Ridge|Ridge|VA|51|Bath|017|380933N|0795249W|38.1592902|-79.8803337|||||860|2821|Minnehaha Springs|09/28/1979|
1481468|Barnetts Run|Stream|VA|51|Bath|017|381128N|0794351W|38.1912356|-79.7308837|381024N|0794201W|38.1733333|-79.7002778|607|1991|Burnsville|09/28/1979|
1481469|Barney Run|Stream|VA|51|Bath|017|380145N|0794500W|38.0292932|-79.7500496|380146N|0794621W|38.0294444|-79.7725|568|1863|Warm Springs|09/28/1979|
